name,imdb_rank,imdb_id,imdb_url
Eric Bana,674,nm0051509,https://www.imdb.com/name/nm0051509/
Romain Duris,675,nm0244151,https://www.imdb.com/name/nm0244151/
Robert Shaw,676,nm0001727,https://www.imdb.com/name/nm0001727/
Jacki Weaver,677,nm0915865,https://www.imdb.com/name/nm0915865/
Bérénice Bejo,678,nm0067367,https://www.imdb.com/name/nm0067367/
Hailee Steinfeld,679,nm2794962,https://www.imdb.com/name/nm2794962/
Jennifer Jason Leigh,680,nm0000492,https://www.imdb.com/name/nm0000492/
Kathleen Quinlan,681,nm0000599,https://www.imdb.com/name/nm0000599/
Taraji P. Henson,682,nm0378245,https://www.imdb.com/name/nm0378245/
Amy Ryan,683,nm0752407,https://www.imdb.com/name/nm0752407/
Ruby Dee,684,nm0002039,https://www.imdb.com/name/nm0002039/
Jill Clayburgh,685,nm0001049,https://www.imdb.com/name/nm0001049/
Adriana Barraza,686,nm0056770,https://www.imdb.com/name/nm0056770/
Rinko Kikuchi,687,nm0452860,https://www.imdb.com/name/nm0452860/
Catherine Keener,688,nm0001416,https://www.imdb.com/name/nm0001416/
Charlotte Rampling,689,nm0001648,https://www.imdb.com/name/nm0001648/
Sophie Okonedo,690,nm0645683,https://www.imdb.com/name/nm0645683/
Patricia Clarkson,691,nm0165101,https://www.imdb.com/name/nm0165101/
Shohreh Aghdashloo,692,nm0013037,https://www.imdb.com/name/nm0013037/
Lindsay Lohan,693,nm0517820,https://www.imdb.com/name/nm0517820/
Michelle Trachtenberg,694,nm0005502,https://www.imdb.com/name/nm0005502/
Chloë Sevigny,695,nm0001721,https://www.imdb.com/name/nm0001721/
Lynn Redgrave,696,nm0001655,https://www.imdb.com/name/nm0001655/
Rachel Griffiths,697,nm0341737,https://www.imdb.com/name/nm0341737/
Margot Robbie,698,nm3053338,https://www.imdb.com/name/nm3053338/
Lili Taylor,699,nm0000666,https://www.imdb.com/name/nm0000666/
Robin Weigert,700,nm0917848,https://www.imdb.com/name/nm0917848/
Lake Bell,701,nm1128572,https://www.imdb.com/name/nm1128572/
Claude Rains,702,nm0001647,https://www.imdb.com/name/nm0001647/
Steve Buscemi,703,nm0000114,https://www.imdb.com/name/nm0000114/
John Rhys-Davies,704,nm0722636,https://www.imdb.com/name/nm0722636/
Jean-Louis Trintignant,705,nm0004462,https://www.imdb.com/name/nm0004462/
Joseph Cotten,706,nm0001072,https://www.imdb.com/name/nm0001072/
Barry Pepper,707,nm0001608,https://www.imdb.com/name/nm0001608/
Erich von Stroheim,708,nm0002233,https://www.imdb.com/name/nm0002233/
Patrick Wilson,709,nm0933940,https://www.imdb.com/name/nm0933940/
Christopher Lloyd,710,nm0000502,https://www.imdb.com/name/nm0000502/
Ben Foster,711,nm0004936,https://www.imdb.com/name/nm0004936/
Joel McCrea,712,nm0566948,https://www.imdb.com/name/nm0566948/
Choi Min-sik,713,nm0158856,https://www.imdb.com/name/nm0158856/
Ewan McGregor,714,nm0000191,https://www.imdb.com/name/nm0000191/
Gael García Bernal,715,nm0305558,https://www.imdb.com/name/nm0305558/
Bruno Ganz,716,nm0004486,https://www.imdb.com/name/nm0004486/
Sean Astin,717,nm0000276,https://www.imdb.com/name/nm0000276/
Irrfan Khan,718,nm0451234,https://www.imdb.com/name/nm0451234/
Michael C. Hall,719,nm0355910,https://www.imdb.com/name/nm0355910/
Roy Scheider,720,nm0001702,https://www.imdb.com/name/nm0001702/
Casey Affleck,721,nm0000729,https://www.imdb.com/name/nm0000729/
Gary Busey,722,nm0000997,https://www.imdb.com/name/nm0000997/
Norman Reedus,723,nm0005342,https://www.imdb.com/name/nm0005342/
Jeff Daniels,724,nm0001099,https://www.imdb.com/name/nm0001099/
Stanley Tucci,725,nm0001804,https://www.imdb.com/name/nm0001804/
Kiefer Sutherland,726,nm0000662,https://www.imdb.com/name/nm0000662/
Michelle Yeoh,727,nm0000706,https://www.imdb.com/name/nm0000706/
Léa Seydoux,728,nm2244205,https://www.imdb.com/name/nm2244205/
Dakota Johnson,729,nm0424848,https://www.imdb.com/name/nm0424848/
Julie Delpy,730,nm0000365,https://www.imdb.com/name/nm0000365/
Linda Hamilton,731,nm0000157,https://www.imdb.com/name/nm0000157/
Carrie Fisher,732,nm0000402,https://www.imdb.com/name/nm0000402/
Pam Grier,733,nm0000427,https://www.imdb.com/name/nm0000427/
Björk,734,nm0001951,https://www.imdb.com/name/nm0001951/
Emily Browning,735,nm0115161,https://www.imdb.com/name/nm0115161/
Juliette Lewis,736,nm0000496,https://www.imdb.com/name/nm0000496/
Sarah Jessica Parker,737,nm0000572,https://www.imdb.com/name/nm0000572/
Piper Laurie,738,nm0001453,https://www.imdb.com/name/nm0001453/
Miley Cyrus,739,nm1415323,https://www.imdb.com/name/nm1415323/
Lily Tomlin,740,nm0005499,https://www.imdb.com/name/nm0005499/
Jane Seymour,741,nm0005412,https://www.imdb.com/name/nm0005412/
Gloria Stuart,742,nm0001784,https://www.imdb.com/name/nm0001784/
Talia Shire,743,nm0001735,https://www.imdb.com/name/nm0001735/
Gal Gadot,744,nm2933757,https://www.imdb.com/name/nm2933757/
Sue Lyon,745,nm0528987,https://www.imdb.com/name/nm0528987/
Olivia Newton-John,746,nm0000556,https://www.imdb.com/name/nm0000556/
Minnie Driver,747,nm0000378,https://www.imdb.com/name/nm0000378/
Teri Garr,748,nm0000414,https://www.imdb.com/name/nm0000414/
Keri Russell,749,nm0005392,https://www.imdb.com/name/nm0005392/
Jean Seberg,750,nm0781029,https://www.imdb.com/name/nm0781029/
Sarah Polley,751,nm0001631,https://www.imdb.com/name/nm0001631/
Josh Brolin,752,nm0000982,https://www.imdb.com/name/nm0000982/
Hal Holbrook,753,nm0001358,https://www.imdb.com/name/nm0001358/
Djimon Hounsou,754,nm0005023,https://www.imdb.com/name/nm0005023/
Matt Dillon,755,nm0000369,https://www.imdb.com/name/nm0000369/
Alan Alda,756,nm0000257,https://www.imdb.com/name/nm0000257/
Thomas Haden Church,757,nm0002006,https://www.imdb.com/name/nm0002006/
Clive Owen,758,nm0654110,https://www.imdb.com/name/nm0654110/
Ken Watanabe,759,nm0913822,https://www.imdb.com/name/nm0913822/
Suraj Sharma,760,nm4139037,https://www.imdb.com/name/nm4139037/
John C. Reilly,761,nm0000604,https://www.imdb.com/name/nm0000604/
Michael Clarke Duncan,762,nm0003817,https://www.imdb.com/name/nm0003817/
Haley Joel Osment,763,nm0005286,https://www.imdb.com/name/nm0005286/
Greg Kinnear,764,nm0001427,https://www.imdb.com/name/nm0001427/
Burt Reynolds,765,nm0000608,https://www.imdb.com/name/nm0000608/
Robert Forster,766,nm0001233,https://www.imdb.com/name/nm0001233/
Jason Schwartzman,767,nm0005403,https://www.imdb.com/name/nm0005403/
William H. Macy,768,nm0000513,https://www.imdb.com/name/nm0000513/
Armin Mueller-Stahl,769,nm0000090,https://www.imdb.com/name/nm0000090/
Tim Roth,770,nm0000619,https://www.imdb.com/name/nm0000619/
James Cromwell,771,nm0000342,https://www.imdb.com/name/nm0000342/
Chazz Palminteri,772,nm0001590,https://www.imdb.com/name/nm0001590/
Gary Sinise,773,nm0000641,https://www.imdb.com/name/nm0000641/
Paul Scofield,774,nm0006890,https://www.imdb.com/name/nm0006890/
Pete Postlethwaite,775,nm0000592,https://www.imdb.com/name/nm0000592/
Hugo Weaving,776,nm0915989,https://www.imdb.com/name/nm0915989/
Jada Pinkett Smith,777,nm0000586,https://www.imdb.com/name/nm0000586/
Tatum O&apos;Neal,778,nm0001575,https://www.imdb.com/name/nm0001575/
Anna Faris,779,nm0267506,https://www.imdb.com/name/nm0267506/
Hattie McDaniel,780,nm0567408,https://www.imdb.com/name/nm0567408/
Famke Janssen,781,nm0000463,https://www.imdb.com/name/nm0000463/
Rosamund Pike,782,nm0683253,https://www.imdb.com/name/nm0683253/
Bonnie Hunt,783,nm0001372,https://www.imdb.com/name/nm0001372/
Leslie Mann,784,nm0005182,https://www.imdb.com/name/nm0005182/
Mindy Kaling,785,nm1411676,https://www.imdb.com/name/nm1411676/
Thandiwe Newton,786,nm0628601,https://www.imdb.com/name/nm0628601/
Amy Poehler,787,nm0688132,https://www.imdb.com/name/nm0688132/
Amanda Peet,788,nm0001605,https://www.imdb.com/name/nm0001605/
Julia Stiles,789,nm0005466,https://www.imdb.com/name/nm0005466/
Maria Bello,790,nm0004742,https://www.imdb.com/name/nm0004742/
Eva Mendes,791,nm0578949,https://www.imdb.com/name/nm0578949/
Emily Blunt,792,nm1289434,https://www.imdb.com/name/nm1289434/
Rose Byrne,793,nm0126284,https://www.imdb.com/name/nm0126284/
Ashley Judd,794,nm0000171,https://www.imdb.com/name/nm0000171/
Emilia Clarke,795,nm3592338,https://www.imdb.com/name/nm3592338/
Christina Applegate,796,nm0000775,https://www.imdb.com/name/nm0000775/
Nia Long,797,nm0000505,https://www.imdb.com/name/nm0000505/
Felicity Jones,798,nm0428065,https://www.imdb.com/name/nm0428065/
Téa Leoni,799,nm0000495,https://www.imdb.com/name/nm0000495/
Alexandra Daddario,800,nm1275259,https://www.imdb.com/name/nm1275259/
Jena Malone,801,nm0540441,https://www.imdb.com/name/nm0540441/
Richard Gere,802,nm0000152,https://www.imdb.com/name/nm0000152/
Nick Frost,803,nm0296545,https://www.imdb.com/name/nm0296545/
Ray Liotta,804,nm0000501,https://www.imdb.com/name/nm0000501/
Chris Rock,805,nm0001674,https://www.imdb.com/name/nm0001674/
Jon Hamm,806,nm0358316,https://www.imdb.com/name/nm0358316/
Neil Patrick Harris,807,nm0000439,https://www.imdb.com/name/nm0000439/
Charlie Sheen,808,nm0000221,https://www.imdb.com/name/nm0000221/
Mark Rylance,809,nm0753314,https://www.imdb.com/name/nm0753314/
Andy Garcia,810,nm0000412,https://www.imdb.com/name/nm0000412/
Michael Lerner,811,nm0503627,https://www.imdb.com/name/nm0503627/
Graham Greene,812,nm0001295,https://www.imdb.com/name/nm0001295/
Bruce Davison,813,nm0001117,https://www.imdb.com/name/nm0001117/
Dan Aykroyd,814,nm0000101,https://www.imdb.com/name/nm0000101/
Danny Aiello,815,nm0000732,https://www.imdb.com/name/nm0000732/
River Phoenix,816,nm0000203,https://www.imdb.com/name/nm0000203/
Dean Stockwell,817,nm0001777,https://www.imdb.com/name/nm0001777/
Billy Crystal,818,nm0000345,https://www.imdb.com/name/nm0000345/
John Goodman,819,nm0000422,https://www.imdb.com/name/nm0000422/
Orlando Bloom,820,nm0089217,https://www.imdb.com/name/nm0089217/
Stellan Skarsgård,821,nm0001745,https://www.imdb.com/name/nm0001745/
Alexander Skarsgård,822,nm0002907,https://www.imdb.com/name/nm0002907/
Mike Myers,823,nm0000196,https://www.imdb.com/name/nm0000196/
Tyrese Gibson,824,nm0879085,https://www.imdb.com/name/nm0879085/
Elijah Wood,825,nm0000704,https://www.imdb.com/name/nm0000704/
Danny DeVito,826,nm0000362,https://www.imdb.com/name/nm0000362/
Susan Hayward,827,nm0001333,https://www.imdb.com/name/nm0001333/
Michelle Rodriguez,828,nm0735442,https://www.imdb.com/name/nm0735442/
